VIA ACHILLINI 7,120,Centro Sociale Stella - Sala polivalente                    ,via Lodovico Savioli 3, 
VIA ACHILLINI 8,120,Centro Sociale Stella - Sala polivalente                    ,via Lodovico Savioli 3, 
VIA ACHILLINI 9,120,Centro Sociale Stella - Sala polivalente                    ,via Lodovico Savioli 3, 
VIA ACHILLINI 10,120,Centro Sociale Stella - Sala polivalente                    ,via Lodovico Savioli 3, 
VIA ACHILLINI 11,120,Centro Sociale Stella - Sala polivalente                    ,via Lodovico Savioli 3, 
VIA ACHILLINI 12,120,Centro Sociale Stella - Sala polivalente                    ,via Lodovico Savioli 3, 
VIA ACHILLINI 14,120,Centro Sociale Stella - Sala polivalente                    ,via Lodovico Savioli 3, 
VIA FRANCESCO ACRI 2,131,Locali Quartiere San Vitale - Aule                          ,vicolo Bolognetti 6, 
VIA FRANCESCO ACRI 4,131,Locali Quartiere San Vitale - Aule                          ,vicolo Bolognetti 6, 
VIA FRANCESCO ACRI 5,131,Locali Quartiere San Vitale - Aule                          ,vicolo Bolognetti 6, 
VIA FRANCESCO ACRI 6,131,Locali Quartiere San Vitale - Aule                          ,vicolo Bolognetti 6, 
VIA FRANCESCO ACRI 7,131,Locali Quartiere San Vitale - Aule                          ,vicolo Bolognetti 6, 
VIA FRANCESCO ACRI 9,131,Locali Quartiere San Vitale - Aule                          ,vicolo Bolognetti 6, 
VIA FRANCESCO ACRI 11,131,Locali Quartiere San Vitale - Aule                          ,vicolo Bolognetti 6, 
VIA FRANCESCO ACRI 13,131,Locali Quartiere San Vitale - Aule                          ,vicolo Bolognetti 6, 
VIA FRANCESCO ACRI 15,131,Locali Quartiere San Vitale - Aule                          ,vicolo Bolognetti 6, 
VIA ADIGE 1,185,Sala Diana Franceschi - Sala polivalente                    ,via Toscana 19, 
VIA ADIGE 2,199,Centro sportivo Sandro Pertini - Sala conferenze            ,via della Battaglia 9, 
VIA ADIGE 3,185,Sala Diana Franceschi - Sala polivalente                    ,via Toscana 19, 
VIA ADIGE 4,199,Centro sportivo Sandro Pertini - Sala conferenze            ,via della Battaglia 9, 
VIA ADIGE 5,185,Sala Diana Franceschi - Sala polivalente                    ,via Toscana 19, 
VIA ADIGE 6,199,Centro sportivo Sandro Pertini - Sala conferenze            ,via della Battaglia 9, 
VIA ADIGE 7,185,Sala Diana Franceschi - Sala polivalente                    ,via Toscana 19, 
VIA ADIGE 8,199,Centro sportivo Sandro Pertini - Sala conferenze            ,via della Battaglia 9, 
VIA ADIGE 10,199,Centro sportivo Sandro Pertini - Sala conferenze            ,via della Battaglia 9, 
VIA ADIGE 12,199,Centro sportivo Sandro Pertini - Sala conferenze            ,via della Battaglia 9, 
VIA ADIGE 14,199,Centro sportivo Sandro Pertini - Sala conferenze            ,via della Battaglia 9, 
VIA DELL'AEROPORTO 4,7,Ex uffici quartiere Borgo Panigale                          ,via Marco Emilio Lepido 177, 
VIA DELL'AEROPORTO 6,7,Ex uffici quartiere Borgo Panigale                          ,via Marco Emilio Lepido 177, 
VIA DELL'AEROPORTO 7,7,Ex uffici quartiere Borgo Panigale                          ,via Marco Emilio Lepido 177, 
VIA DELL'AEROPORTO 7/4 ,7,Ex uffici quartiere Borgo Panigale                          ,via Marco Emilio Lepido 177, 
VIA DELL'AEROPORTO 7/5 ,7,Ex uffici quartiere Borgo Panigale                          ,via Marco Emilio Lepido 177, 
VIA DELL'AEROPORTO 8,7,Ex uffici quartiere Borgo Panigale                          ,via Marco Emilio Lepido 177, 
VIA DELL'AEROPORTO 9/2 ,13,Palestra - Atrio                                            ,via Santorre di Santarosa 2, 
VIA DELL'AEROPORTO 13,7,Ex uffici quartiere Borgo Panigale                          ,via Marco Emilio Lepido 177, 
VIA DELL'AEROPORTO 14,7,Ex uffici quartiere Borgo Panigale                          ,via Marco Emilio Lepido 177, 
VIA DELL'AEROPORTO 18,7,Ex uffici quartiere Borgo Panigale                          ,via Marco Emilio Lepido 177, 
VIA DELL'AEROPORTO 20,7,Ex uffici quartiere Borgo Panigale                          ,via Marco Emilio Lepido 177, 
